Var1,Var2
0.223,-0.433200954061055
0.224,-0.385229686512286
0.225,-0.349251235850709
0.226,-0.325265602076325
0.227,-0.30127996830194
0.228,-0.289287151414748
0.229,-0.265301517640363
0.23,-0.253308700753171
0.231,-0.241315883865978
0.232,-0.229323066978786
0.233,-0.217330250091594
0.234,-0.205337433204401
0.235,-0.181351799430017
0.236,-0.169358982542825
0.237,-0.157366165655632
0.238,-0.14537334876844
0.239,-0.133380531881248
0.24,-0.121387714994055
0.241,-0.109394898106863
0.242,-0.109394898106863
0.243,-0.109394898106863
0.244,-0.109394898106863
0.245,-0.109394898106863
0.246,-0.0854092643324784
0.247,-0.0854092643324784
0.248,-0.0854092643324784
0.249,-0.0734164474452861
0.25,-0.0734164474452861
0.251,-0.0854092643324784
0.252,-0.0854092643324784
0.253,-0.0734164474452861
0.254,-0.0614236305580938
0.255,-0.0614236305580938
0.256,-0.0614236305580938
0.257,-0.0614236305580938
0.258,-0.0614236305580938
0.259,-0.0614236305580938
0.26,-0.0734164474452861
0.261,-0.0734164474452861
0.262,-0.0734164474452861
0.263,-0.0854092643324784
0.264,-0.0974020812196707
0.265,-0.0974020812196707
0.266,-0.0974020812196707
0.267,-0.0974020812196707
0.268,-0.0854092643324784
0.269,-0.0854092643324784
0.27,-0.0734164474452861
0.271,-0.0614236305580938
0.272,-0.0614236305580938
0.273,-0.0494308136709015
0.274,-0.0374379967837092
0.275,-0.0494308136709015
0.276,-0.0374379967837092
0.277,-0.0254451798965169
0.278,-0.0134523630093246
0.279,-0.00145954612213226
0.28,-0.00145954612213226
0.281,-0.00145954612213226
0.282,-0.00145954612213226
0.283,-0.00145954612213226
0.284,-0.00145954612213226
0.285,-0.00145954612213226
0.286,-0.00145954612213226
0.287,0.01053327076506
0.288,-0.00145954612213226
0.289,0.01053327076506
0.29,0.0225260876522523
0.291,0.01053327076506
0.292,0.01053327076506
0.293,0.0225260876522523
0.294,0.0225260876522523
0.295,0.0225260876522523
0.296,0.0225260876522523
0.297,0.0225260876522523
0.298,0.0345189045394447
0.299,0.0345189045394447
0.3,0.0345189045394447
0.301,0.046511721426637
0.302,0.0585045383138293
0.303,0.0704973552010216
0.304,0.0704973552010216
0.305,0.0704973552010216
0.306,0.0704973552010216
0.307,0.0585045383138293
0.308,0.0704973552010216
0.309,0.0704973552010216
0.31,0.0824901720882139
0.311,0.0944829889754062
0.312,0.0944829889754062
0.313,0.0824901720882139
0.314,0.0824901720882139
0.315,0.0824901720882139
0.316,0.0824901720882139
0.317,0.0944829889754062
0.318,0.0944829889754062
0.319,0.0944829889754062
0.32,0.0944829889754062
0.321,0.0944829889754062
0.322,0.106475805862598
0.323,0.106475805862598
0.324,0.106475805862598
0.325,0.106475805862598
0.326,0.118468622749791
0.327,0.118468622749791
0.328,0.118468622749791
0.329,0.118468622749791
0.33,0.130461439636983
0.331,0.130461439636983
0.332,0.118468622749791
0.333,0.106475805862598
0.334,0.118468622749791
0.335,0.142454256524175
0.336,0.142454256524175
0.337,0.154447073411368
0.338,0.154447073411368
0.339,0.142454256524175
0.34,0.142454256524175
0.341,0.142454256524175
0.342,0.142454256524175
0.343,0.130461439636983
0.344,0.118468622749791
0.345,0.118468622749791
0.346,0.118468622749791
0.347,0.130461439636983
0.348,0.154447073411368
0.349,0.16643989029856
0.35,0.178432707185752
0.351,0.178432707185752
0.352,0.178432707185752
0.353,0.16643989029856
0.354,0.154447073411368
0.355,0.142454256524175
0.356,0.142454256524175
0.357,0.154447073411368
0.358,0.154447073411368
0.359,0.154447073411368
0.36,0.142454256524175
0.361,0.154447073411368
0.362,0.154447073411368
0.363,0.154447073411368
0.364,0.142454256524175
0.365,0.130461439636983
0.366,0.118468622749791
0.367,0.118468622749791
0.368,0.106475805862598
0.369,0.0944829889754062
0.37,0.0824901720882139
0.371,0.0824901720882139
0.372,0.0704973552010216
0.373,0.046511721426637
0.374,0.0345189045394447
0.375,0.01053327076506
0.376,-0.00145954612213226
0.377,-0.0134523630093246
0.378,-0.0134523630093246
0.379,-0.0254451798965169
0.38,-0.0254451798965169
